Circuit: circuits/s344f_2.txt
Binary Input: 101010101010111101111111

------ DETECTED FAULTS ------
NET		STUCK-AT
1		0
2		1
3		0
4		1
5		0
6		1
7		0
8		1
9		0
10		1
11		0
12		1
13		0
14		0
15		0
16		0
25		1
26		1
27		1
28		0
29		0
30		0
31		0
32		1
33		0
34		1
35		0
36		1
37		0
38		0
39		0
40		1
41		0
42		1
43		0
44		1
45		0
46		1
47		0
48		0
49		1
50		0
54		1
60		0
61		1
62		1
64		0
65		1
66		1
67		0
68		1
69		1
70		1
71		1
72		1
73		1
76		1
77		1
78		1
91		0
92		1
95		1
96		1
97		0
99		0
101		0
105		1
106		0
108		0
109		1
110		1
111		1
112		0
114		0
115		1
116		1
144		0
145		0
146		0
188		1
189		1
190		1
NUMBER OF FAULTS DETECTED: 82
