Circuit: circuits/s298f_2.txt
Binary Input: 10101011110010101

------ DETECTED FAULTS ------
NET		STUCK-AT
3		0
5		0
6		1
7		0
8		0
9		0
10		0
11		1
12		1
15		0
18		1
19		1
20		1
21		1
22		1
23		1
24		0
25		0
26		0
27		0
28		1
29		1
30		1
31		1
32		0
33		1
34		0
35		0
36		1
37		0
39		1
41		1
45		1
48		0
49		0
50		0
51		0
52		1
53		1
54		1
55		1
56		0
58		0
64		1
66		0
67		1
68		1
95		0
102		0
103		0
104		0
107		1
108		1
109		1
110		1
111		1
113		1
115		1
116		1
118		0
119		0
121		0
122		0
132		0
133		0
135		0
138		0
143		1
144		1
145		1
149		0
152		0
158		0
159		0
161		0
163		0
166		1
167		1
168		1
169		1
170		1
173		0
182		1
183		1
186		1
187		1
188		1
NUMBER OF FAULTS DETECTED: 87
