Circuit: circuits/s349f_2.txt
Binary Input: 101000000010101011111111

------ DETECTED FAULTS ------
NET		STUCK-AT
1		0
2		1
3		0
4		1
5		1
6		1
7		1
8		1
9		1
10		1
11		0
12		1
13		0
14		1
15		0
16		1
25		0
26		1
27		0
28		1
29		1
30		1
31		1
32		1
33		1
34		1
35		0
36		1
37		0
38		1
39		0
40		1
41		0
42		0
43		1
44		0
45		0
46		0
47		0
48		0
49		0
50		0
51		1
52		0
53		1
54		1
55		1
56		1
57		1
58		0
60		0
62		0
64		1
65		1
66		0
67		1
68		0
69		1
70		1
71		1
72		1
73		1
74		1
109		0
111		0
113		0
115		0
116		1
118		1
120		0
121		1
123		0
124		1
126		0
127		0
128		1
129		1
130		1
131		1
133		0
134		1
135		1
137		0
138		1
171		0
173		0
174		1
176		0
177		1
178		1
179		0
180		0
181		0
183		0
187		1
188		1
189		1
NUMBER OF FAULTS DETECTED: 97
