Circuit: circuits/s349f_2.txt
Binary Input: 111111101010101010001111

------ DETECTED FAULTS ------
NET		STUCK-AT
1		0
2		0
3		0
4		0
5		0
6		0
7		0
8		1
9		0
10		1
11		0
12		1
13		0
14		1
15		0
25		1
26		1
27		1
28		0
29		0
30		0
31		0
32		0
33		1
34		0
35		1
36		1
37		0
38		1
39		0
40		0
41		1
42		1
43		1
44		0
45		1
46		0
47		1
48		1
49		1
50		1
51		0
52		0
53		0
54		0
55		0
56		0
57		0
58		1
59		1
61		0
62		1
63		1
65		0
66		0
67		1
68		0
69		1
70		0
71		0
72		0
74		0
75		0
76		1
77		1
78		0
79		1
80		1
81		0
82		1
83		1
84		0
85		1
86		1
87		0
88		1
89		1
90		0
91		1
92		1
93		0
94		0
95		0
96		1
97		0
99		0
102		0
103		0
105		0
108		1
109		1
110		1
111		1
112		1
113		1
114		1
115		1
116		0
117		0
130		1
131		1
133		0
134		1
135		1
137		0
138		1
143		1
144		1
145		1
150		1
151		1
152		1
157		1
158		1
159		1
162		1
163		1
164		1
165		1
166		1
167		0
168		1
169		0
171		0
173		0
174		0
175		0
177		0
180		1
181		1
182		1
183		1
184		1
185		1
186		1
187		0
188		0
NUMBER OF FAULTS DETECTED: 137
